pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
6579,6578,98,33,Female,47,Junior high school or below,han,0,1,,9472,Rural,4,4,4,5,2,0,5,24,0,,
6578,6579,98,33,Male,47,Junior high school or below,han,0,1,,9472,Rural,4,4,4,4,1,0,3,24,0,,
75,6807,102,7,Male,35,Junior high school or below,han,1,1,,21666.67,Urban,5,5,5,5,1,0,5,1,0,,
6807,75,102,7,Female,33,Junior high school or below,han,1,1,,21666.67,Urban,5,5,5,3,4,0,4,1,0,,
7185,7184,107,142,Male,31,Junior high school or below,han,1,1,,26666.67,Rural,,,,,0,0,,5,0,,
7184,7185,107,142,Female,27,Senior high school/secondary school/tec,han,0,1,,26666.67,Rural,,,,,3,0,,5,0,,
7914,7915,113,59,Female,47,Junior high school or below,han,1,3,,43879,Urban,3,5,3,3,4,0,5,25,0,,
7915,7914,113,59,Male,50,Junior high school or below,han,1,3,,43879,Urban,3,4,3,2,1,0,3,25,0,,
8472,8473,116,46,Male,35,Senior high school/secondary school/tec,han,1,2,,20000,Rural,,,,,,0,,9,0,,
8473,8472,116,46,Female,35,Junior high school or below,han,1,2,,20000,Rural,,,,,,0,,9,0,,
76,9667,118,175,Male,26,Junior high school or below,.,,1,,21666.67,Rural,,,,,0,0,,1,0,,
9667,76,118,175,Female,26,Junior high school or below,non-han,1,1,,21666.67,Rural,,,,,2,0,,1,0,,
4937,4936,119,265,Female,30,Junior high school or below,han,1,1,,41700,Rural,4,2,4,4,1,0,3,7,0,,
4936,4937,119,265,Male,32,Junior high school or below,han,1,1,,41700,Rural,5,5,5,4,0,0,1,7,0,,
83,82,133,290,Male,39,Junior high school or below,han,0,2,,10025,Urban,5,5,5,5,1,0,5,2,0,,
82,83,133,290,Female,35,Senior high school/secondary school/tec,han,0,2,,10025,Urban,3,1,3,4,1,0,5,2,0,,
86,87,136,290,Male,50,4-year college/Bachelor's degree or above,han,0,1,,70000,Urban,5,5,5,4,0.5,0,4,26,0,,
87,86,136,290,Female,49,Junior high school or below,han,0,1,,70000,Urban,5,5,5,5,2,0,4,26,0,,
89,88,137,290,Female,41,4-year college/Bachelor's degree or above,han,0,2,,33333.33,Urban,5,4,4,4,3,0,5,13,0,,
88,89,137,290,Male,50,3-year college,han,0,2,,33333.33,Urban,5,5,5,3,1,0,4,13,0,,
95,94,142,134,Male,28,Junior high school or below,han,0,2,,6833.333,Urban,5,3,5,5,0,0,3,4,1,52,52
94,95,142,134,Female,28,Senior high school/secondary school/tec,han,0,2,,6833.333,Urban,5,5,5,5,3,0,5,4,1,52,52
103,102,148,290,Male,42,3-year college,han,0,1,,23333.33,Urban,5,5,4,4,1,0,4,17,0,,
102,103,148,290,Female,42,3-year college,han,0,1,,23333.33,Urban,4,4,3,3,2,0,3,17,0,,
